,id,participant,song
6232,6232,44,1
4780,4780,44,1
5287,5287,44,1
6854,6854,44,1
5648,5648,44,1
5543,5543,44,1
7880,7880,44,1
5763,5763,44,1
5978,5978,44,1
7646,7646,44,1
6402,6402,44,1
3552,3552,44,2
3461,3461,44,2
1641,1641,44,2
2709,2709,44,2
2483,2483,44,2
3253,3253,44,2
6239,6239,44,2
2915,2915,44,2
6942,6942,44,2
6715,6715,44,2
6327,6327,44,2
5875,5875,44,2
1931,1931,44,2
6053,6053,44,2
3810,3810,44,2
2621,2621,44,2
6152,6152,44,2
6431,6431,44,2
1779,1779,44,2
3656,3656,44,2
14065,14065,45,0
16282,16282,45,0
11704,11704,45,0
7531,7531,45,1
5880,5880,45,1
5259,5259,45,1
8576,8576,45,1
10522,10522,45,2
3581,3581,45,2
3939,3939,45,2
12400,12400,45,2
2898,2898,45,2
10269,10269,45,2
2351,2351,46,0
6049,6049,46,1
6613,6613,46,2
2032,2032,46,2
11734,11734,47,0
8637,8637,47,0
4495,4495,47,1
15241,15241,47,1
5645,5645,47,1
12960,12960,47,1
2861,2861,47,1
15553,15553,47,1
6784,6784,47,1
13567,13567,47,1
7893,7893,47,2
13927,13927,47,2
8736,8736,47,2
11951,11951,47,2
2666,2666,47,2
5546,5546,47,2
4156,4156,47,2
1066,1066,47,2
3851,3851,47,2
1737,1737,47,2
8279,8279,47,2
2158,2158,47,2
12914,12914,47,2
5262,5262,47,2
489,489,47,2
9986,9986,47,2
5837,5837,48,0
2252,2252,48,0
3447,3447,48,0
1185,1185,48,0
8557,8557,48,0
1673,1673,48,0
9118,9118,48,1
4794,4794,48,1
3280,3280,48,1
3519,3519,48,1
6251,6251,48,1
3903,3903,48,1
4154,4154,48,1
3684,3684,48,2
5134,5134,48,2
15070,15070,48,2
5958,5958,48,2
2632,2632,48,2
9378,9378,48,2
15141,15141,48,2
12303,12303,48,2
1748,1748,48,2
11356,11356,48,2
10573,10573,48,2
8768,8768,48,2
7060,7060,48,2
5538,5538,48,2
11686,11686,49,0
17845,17845,49,0
4073,4073,49,1
11440,11440,49,1
9171,9171,49,1
1465,1465,49,2
9460,9460,49,2
7607,7607,50,0
3059,3059,50,0
4449,4449,50,0
6260,6260,50,0
2550,2550,50,0
7404,7404,50,0
11555,11555,50,0
10113,10113,50,0
10560,10560,50,0
10639,10639,50,0
1756,1756,50,0
4130,4130,50,0
3740,3740,50,0
3977,3977,50,0
5275,5275,50,0
10869,10869,50,0
3266,3266,50,0
4651,4651,50,0
8517,8517,50,0
8141,8141,50,0
1994,1994,50,0
2801,2801,50,0
9701,9701,50,0
6586,6586,50,0
1365,1365,50,0
1089,1089,50,0
5801,5801,50,0
10925,10925,50,0
8280,8280,50,0
9027,9027,50,0
4966,4966,50,0
6991,6991,50,0
10279,10279,50,0
11037,11037,50,0
7913,7913,50,0
5500,5500,50,0
2353,2353,50,0
638,638,50,0
5166,5166,50,0
10394,10394,50,0
4813,4813,50,0
11301,11301,50,0
6742,6742,50,0
9937,9937,50,0
8827,8827,50,1
11468,11468,50,1
355,355,50,1
10629,10629,50,1
7724,7724,50,1
11438,11438,50,1
9943,9943,50,1
8460,8460,50,1
10654,10654,50,1
4792,4792,50,1
2612,2612,50,1
10676,10676,50,1
11383,11383,50,1
5502,5502,50,1
7781,7781,50,1
4046,4046,50,1
4837,4837,50,1
10711,10711,50,1
1930,1930,50,1
6375,6375,50,1
5466,5466,50,1
8379,8379,50,1
5596,5596,50,1
9863,9863,50,1
9992,9992,50,1
4724,4724,50,1
5791,5791,50,1
10420,10420,50,1
4582,4582,50,1
8667,8667,50,1
5739,5739,50,1
4260,4260,50,1
10475,10475,50,1
10109,10109,50,1
1312,1312,50,1
2778,2778,50,1
3214,3214,50,1
4654,4654,50,1
10073,10073,50,1
8595,8595,50,1
5682,5682,50,1
9110,9110,50,1
4167,4167,50,1
10020,10020,50,1
7669,7669,50,1
10578,10578,50,1
8532,8532,50,1
11490,11490,50,1
7840,7840,50,1
3471,3471,50,1
9836,9836,50,1
10898,10898,50,1
8209,8209,50,1
9703,9703,50,1
3845,3845,50,1
9480,9480,50,1
5244,5244,50,1
8003,8003,50,1
8162,8162,50,1
3815,3815,50,1
10949,10949,50,1
9510,9510,50,1
9648,9648,50,1
841,841,50,1
8124,8124,50,1
5118,5118,50,1
9617,9617,50,1
11053,11053,50,1
9605,9605,50,1
11007,11007,50,1
773,773,50,1
11033,11033,50,1
3871,3871,50,1
9726,9726,50,1
5008,5008,50,1
7942,7942,50,1
