participant,song,id,s,m,start,end
1,0,11665,194.4147225,3.240245375,192.9147225,195.9147225
1,0,11081,184.6814865,3.078024775,183.1814865,186.1814865
1,0,3661,61.0160565,1.016934275,59.5160565,62.5160565
1,0,11602,193.364733,3.22274555,191.864733,194.864733
1,0,14418,240.297597,4.00495995,238.797597,241.797597
1,0,11565,192.7480725,3.212467875,191.2480725,194.2480725
1,0,14656,244.264224,4.0710704,242.764224,245.764224
1,0,9552,159.198408,2.6533068,157.698408,160.698408
1,0,711,11.8498815,0.197498025,10.3498815,13.3498815
1,0,2969,49.4828385,0.824713975,47.9828385,50.9828385
1,0,9769,162.8150385,2.713583975,161.3150385,164.3150385
1,0,8480,141.33192,2.355532,139.83192,142.83192
1,0,6284,104.732286,1.7455381,103.232286,106.232286
1,0,2430,40.499595,0.67499325,38.999595,41.999595
1,1,2825,47.0828625,0.784714375,45.5828625,48.5828625
1,1,9658,160.965057,2.68275095,159.465057,162.465057
1,1,6068,101.132322,1.6855387,99.632322,102.632322
1,1,9551,159.1817415,2.653029025,157.6817415,160.6817415
1,1,7204,120.065466,2.0010911,118.565466,121.565466
1,1,1486,24.766419,0.41277365,23.266419,26.266419
1,1,10048,167.464992,2.7910832,165.964992,168.964992
1,1,4733,78.8825445,1.314709075,77.3825445,80.3825445
1,1,11432,190.531428,3.1755238,189.031428,192.031428
1,1,6009,100.1489985,1.669149975,98.6489985,101.6489985
1,1,2849,47.4828585,0.791380975,45.9828585,48.9828585
1,1,5697,94.9490505,1.582484175,93.4490505,96.4490505
1,1,6695,111.5822175,1.859703625,110.0822175,113.0822175
1,1,6250,104.165625,1.73609375,102.665625,105.665625
1,1,5772,96.199038,1.6033173,94.699038,97.699038
1,1,7109,118.4821485,1.974702475,116.9821485,119.9821485
1,1,313,5.2166145,0.086943575,3.7166145,6.7166145
1,1,13803,230.0476995,3.834128325,228.5476995,231.5476995
1,1,247,4.1166255,0.068610425,2.6166255,5.6166255
1,1,4215,70.2492975,1.170821625,68.7492975,71.7492975
1,1,5804,96.732366,1.6122061,95.232366,98.232366
1,1,9632,160.531728,2.6755288,159.031728,162.031728
1,1,7235,120.5821275,2.009702125,119.0821275,122.0821275
1,1,4812,80.199198,1.3366533,78.699198,81.699198
1,1,10023,167.0483295,2.784138825,165.5483295,168.5483295
1,1,5922,98.699013,1.64498355,97.199013,100.199013
1,1,2874,47.899521,0.79832535,46.399521,49.399521
1,1,10804,180.064866,3.0010811,178.564866,181.564866
1,1,10335,172.2482775,2.870804625,170.7482775,173.7482775
1,1,10311,171.8482815,2.864138025,170.3482815,173.3482815
1,1,15984,266.397336,4.4399556,264.897336,267.897336
1,1,2406,40.099599,0.66832665,38.599599,41.599599
1,1,5746,95.765709,1.59609515,94.265709,97.265709
1,1,14064,234.397656,3.9066276,232.897656,235.897656
1,1,3663,61.0493895,1.017489825,59.5493895,62.5493895
1,1,3139,52.3161435,0.871935725,50.8161435,53.8161435
1,1,6587,109.7822355,1.829703925,108.2822355,111.2822355
1,1,6340,105.66561,1.7610935,104.16561,107.16561
1,1,10838,180.631527,3.01052545,179.131527,182.131527
1,1,6309,105.1489485,1.752482475,103.6489485,106.6489485
1,1,14551,242.5142415,4.041904025,241.0142415,244.0142415
1,1,13522,225.364413,3.75607355,223.864413,226.864413
1,1,6648,110.798892,1.8466482,109.298892,112.298892
1,1,9688,161.465052,2.6910842,159.965052,162.965052
1,1,11230,187.164795,3.11941325,185.664795,188.664795
1,1,2057,34.2829905,0.571383175,32.7829905,35.7829905
1,1,7154,119.232141,1.98720235,117.732141,120.732141
1,1,8595,143.2485675,2.387476125,141.7485675,144.7485675
1,1,5853,97.5490245,1.625817075,96.0490245,99.0490245
1,1,9591,159.8484015,2.664140025,158.3484015,161.3484015
1,1,9825,163.7483625,2.729139375,162.2483625,165.2483625
1,1,7179,119.6488035,1.994146725,118.1488035,121.1488035
1,1,6274,104.565621,1.74276035,103.065621,106.065621
1,1,1159,19.3164735,0.321941225,17.8164735,20.8164735
1,1,5886,98.099019,1.63498365,96.599019,99.599019
1,2,13227,220.4477955,3.674129925,218.9477955,221.9477955
1,2,4328,72.132612,1.2022102,70.632612,73.632612
1,2,5631,93.8490615,1.564151025,92.3490615,95.3490615
1,2,9852,164.198358,2.7366393,162.698358,165.698358
1,2,8911,148.5151815,2.475253025,147.0151815,150.0151815
1,2,6548,109.132242,1.8188707,107.632242,110.632242
1,2,1266,21.099789,0.35166315,19.599789,22.599789
1,2,6456,107.598924,1.7933154,106.098924,109.098924
1,2,11791,196.5147015,3.275245025,195.0147015,198.0147015
1,2,9043,150.7151595,2.511919325,149.2151595,152.2151595
1,2,8835,147.2485275,2.454142125,145.7485275,148.7485275
1,2,3252,54.199458,0.9033243,52.699458,55.699458
1,2,9931,165.5150115,2.758583525,164.0150115,167.0150115
1,2,6770,112.832205,1.88053675,111.332205,114.332205
1,2,3335,55.5827775,0.926379625,54.0827775,57.0827775
1,2,3190,53.166135,0.88610225,51.666135,54.666135
1,2,9323,155.3817795,2.589696325,153.8817795,156.8817795
1,2,9269,154.4817885,2.574696475,152.9817885,155.9817885
1,2,11620,193.66473,3.2277455,192.16473,195.16473
1,2,5120,85.33248,1.422208,83.83248,86.83248
1,2,4853,80.8825245,1.348042075,79.3825245,82.3825245
1,2,560,9.33324,0.155554,7.83324,10.83324
2,2,2719,45.3162135,0.755270225,43.8162135,46.8162135
